UserId,FirstName,LastName,RewardsTotal,AccountNumber,AccountLimit
10,Anaïs,Timbs,6411.72,408,2122.16
4,Maïlis,Dorwood,4695.64,945,1784.15
3,Andrée,Elijah,6637.44,735,895.16
9,Agnès,Buckthorpe,2837.88,622,1881.94
1,Måns,Ysson,7648.63,987,3094.04
4,Stévina,Burriss,7690.13,558,8279.37
4,Håkan,Chiddy,9269.08,709,6666.7
8,Méghane,Thomlinson,419.78,423,4822.21
3,Maéna,McFade,6561.43,611,2282.8
7,Maéna,Liddyard,7349.99,321,2074.49
1,Cécilia,Libbie,4165.79,206,8084.51
8,Ruì,Gascar,3408.5,821,4652.82
3,Maïly,Jefford,2781.32,673,2436.73
4,Léane,Rentoll,4145.86,380,210.97
4,Célestine,Lowater,7341.91,150,1413.35
9,Måns,Wigsell,3213.57,3,9970.08
7,Åslög,Brekonridge,5693.59,700,7166.75
6,Mahélie,Antos,1151.4,998,7409.13
1,Pélagie,Abad,7955.58,562,8693.06
2,Naéva,Gedge,762.36,765,1525.41
10,Marie-hélène,Springtorpe,6747.45,124,1757.5
7,Dorothée,Girardetti,3920.22,800,4084.43
6,Andréa,Gooderson,5241.13,77,1188.14
9,Jú,Eamer,4413.78,59,4406.83
8,Lèi,Klimek,3032.71,292,6599.86
6,Desirée,Rainon,2045.55,325,2835.3
2,Kù,Eveleigh,635.81,530,1301.15
1,Pò,Critchard,4990.7,959,4717.53
1,Marie-ève,Lattimer,2700.52,644,3718.77
4,Cunégonde,Bowhay,6148.39,452,3153.83
3,Loïca,Hartzenberg,7297.67,111,8265.38
1,Fèi,Bizzey,7043.35,183,2634.08
9,Mårten,Coronas,8394.63,978,7401.53
1,André,Ivashnikov,4717.52,955,8954.7
2,Almérinda,Dunstall,1857.46,438,2687.23
2,Gérald,Hicklingbottom,6463.4,516,4675.73
2,Eléonore,Sellor,4241.94,685,7990.29
5,Léa,Fri,7808.9,66,1351.8
9,Bénédicte,Wickmann,9531.5,347,4217.77
10,Bérangère,Cosslett,7055.03,174,7984.97
3,Åke,Bunclark,1278.98,58,3672.51
4,Vérane,Lammas,6992.25,2,777.91
6,Geneviève,Rogeon,9633.44,744,9538.48
9,Géraldine,Gilston,1589.27,500,6848.45
7,Néhémie,Grubb,701.71,47,398.98
2,Adélie,Giorgione,6055.09,595,8388.69
6,Edmée,Fockes,7037.99,844,1853.12
9,Pélagie,Le Marquis,9415.34,589,7157.72
9,Ruò,Fidoe,4504.34,488,1099.3
7,Médiamass,Bridgeland,2704.77,737,6842.77
3,Dorothée,Leipelt,8173.53,941,7706.83
8,Cloé,Adlem,4918.97,544,9632.1
7,Faîtes,Bolin,9005.33,649,7348.85
10,Lorène,Eisikovitsh,3622.39,275,5954.87
4,Mårten,Rowden,9017.25,331,8215.72
3,Publicité,Cadell,7128.54,85,1447.93
10,Stévina,Wilton,7240.36,942,8436.98
6,Desirée,Wellsman,3795.61,689,4704.87
7,Styrbjörn,Whiteoak,3411.7,824,6801.91
4,Angélique,Robelow,5067.28,568,557.95
3,Félicie,Cristou,4684.14,822,8295.91
8,Nuó,Blacktin,1284.62,84,5191.17
7,Andrée,Shinner,7238.69,80,775.01
3,Thérèse,Garside,4448.06,453,9414.39
9,Loïs,Poundford,3117.32,15,1911.81
1,Faîtes,Demeza,9878.86,196,4399.93
8,Gwenaëlle,Walczak,8729.09,427,2858.4
5,Mélanie,Scaddon,3703.2,137,2032.1
10,Valérie,Aronovitz,9472.13,990,8226.77
9,Angèle,Halahan,9981.98,854,5531.58
10,Océane,Christophle,3450.99,84,6024.45
5,Irène,Demeter,5105.02,288,2380.66
6,Gwenaëlle,Robinson,9773.95,688,5136.07
6,Illustrée,Derdes,9985.59,816,3146.72
1,Rachèle,Aleso,5867.18,332,5082.34
6,Naéva,Aimer,7467.01,49,5255.88
4,Annotée,Lyfield,5289.61,465,1519.07
7,Léana,Vairow,2051.74,262,404.68
5,Loïc,Walsh,9319.45,542,4236.52
10,Aimée,Versey,5388.3,389,3737.28
6,Séréna,Elderton,9163.53,598,1313.64
8,Mà,Marris,9907.61,514,3424.01
1,Léa,Betton,1745.95,96,8498.26
1,Mélys,Andrzejczak,9977.29,882,9312.9
1,Ruò,Rulton,6088.22,710,5245.82
10,Maïlys,Spain,9522.73,106,4518.32
10,Angèle,Dinis,7251.67,346,9811.77
5,Maïwenn,O'Kerin,2330.06,359,2615.12
10,Pò,Costen,3357.32,952,80.64
10,Régine,Donaldson,6487.63,323,5210.07
9,Marie-josée,Pilley,3808.06,71,8515.71
3,Eugénie,Kestell,53.08,271,937.25
3,Aí,Silkston,783.19,893,1223.21
9,Cléa,Dowden,4519.51,361,6395.79
1,Eléonore,Bernhardt,4819.31,581,7807.27
5,Athéna,Gallard,2101.1,559,6667.65
3,Torbjörn,Bugg,4360.54,856,1233.45
1,Annotés,Royson,9832.39,283,7287.45
6,Marie-hélène,Clements,6602.52,152,1736.04
8,Cinéma,Girardi,8821.03,587,5306.28
4,Séréna,Raffeorty,2854.33,2,2321.45
1,Mylène,Mangenet,2521.01,409,2781.16
6,Gaëlle,Domegan,7770.15,131,2180.56
9,Angélique,Sivier,2404.86,361,9869.54
5,Hélèna,Wyles,7898.91,652,109.4
7,Personnalisée,Benjamin,9542.36,505,1192.24
10,Gwenaëlle,Scallon,2017.38,555,6253.16
4,Mélissandre,Burbank,3533.13,369,9596.49
10,Thérèsa,Goodby,368.0,17,6992.26
6,Aí,Ricoald,9073.2,796,7026.73
8,Maëline,Doberer,526.37,322,3833.81
7,Mélinda,Parvin,3968.17,233,6095.2
8,Méryl,Behninck,1026.3,519,7694.19
2,Maïwenn,Labbez,2509.74,542,805.05
8,Laïla,Aynold,5222.42,655,859.36
8,Josée,Caro,3905.44,624,4945.42
8,Anaël,Collete,2773.29,739,8717.28
10,Marylène,Lazare,6188.75,425,8776.19
1,Hélèna,Joul,5832.43,410,9265.73
7,Léane,Oxtoby,4157.87,821,8741.38
8,Néhémie,Marikhin,1655.73,378,4539.19
7,Inès,MacDermot,5153.03,180,7838.01
3,Jú,Suffe,77.75,390,1047.52
6,Mélanie,Argente,3892.77,726,3464.52
1,Ráo,Markova,8982.99,848,3085.92
6,Zoé,Ruecastle,9436.41,298,2115.03
3,Mélodie,Feldmus,8813.34,25,496.91
5,Maïté,McNess,3345.32,494,4085.41
7,Gérald,Knocker,5954.92,612,6041.76
5,Marie-ève,Dyster,1842.67,782,9031.77
10,Renée,Kassidy,6314.58,977,4511.12
5,Yáo,Waliszek,5574.77,93,6224.06
4,Marlène,Prendergrast,607.46,73,2625.9
6,Adélie,Metcalf,9162.59,567,2308.93
1,Réservés,Gregoli,6338.01,835,3399.46
7,Néhémie,McGillicuddy,3514.05,189,1281.6
2,Åke,Meeke,3353.53,374,574.96
7,Andréa,Hemerijk,9411.33,771,3639.42
4,Estève,Murr,7133.3,702,9387.08
5,Cécile,O'Hagirtie,2990.85,287,6052.69
6,Sòng,De Mico,284.3,656,2573.82
4,Marlène,Ziem,3012.57,449,9814.38
8,Sòng,Sousa,3745.41,767,8226.55
1,Bérénice,Jannasch,4118.68,488,9373.23
10,Nadège,Hallihane,6904.33,134,2165.61
5,Mén,McElhargy,4206.39,98,9399.7
5,Frédérique,Bunclark,1523.38,758,5629.13
9,Yáo,Scarth,9980.99,113,5217.37
3,Cécilia,Apfelmann,761.85,579,3716.87
9,Mélina,Lethebridge,1553.32,532,9044.34
8,Aloïs,Maylour,9895.91,923,3615.02
8,Torbjörn,Dinley,7550.85,294,3339.21
5,Maëlys,Gavagan,3442.87,490,8788.27
2,Aí,Strutt,6325.38,349,265.31
6,Wá,Egar,8463.74,150,567.38
4,Clémentine,Rummery,8621.43,702,5824.49
8,Märta,Wheatman,1780.23,690,1816.68
7,Mylène,Beadel,1783.51,497,5986.6
8,Sélène,Baitman,8165.18,979,3172.82
4,Aloïs,Pickavant,8275.54,417,5663.93
4,Magdalène,Layton,9139.78,741,8343.07
8,Bérengère,Clemence,1997.88,519,8658.06
5,Faîtes,Harhoff,7966.28,39,982.67
7,Vérane,Rollings,5811.24,395,443.23
7,Laïla,Marwick,5577.23,583,4246.12
6,Athéna,Gatecliff,8224.01,676,4379.24
4,Réjane,Jorry,7053.81,769,8293.37
8,Desirée,Dugall,8152.5,674,8841.09
1,Mà,Mainwaring,7524.51,634,9492.95
2,Marie-thérèse,Minchell,5660.39,654,4852.75
9,Jú,Malling,2047.72,102,8780.53
8,Yè,Byng,3478.09,521,3716.44
7,Adèle,Borsnall,9104.1,293,5737.2
8,Dù,Dowderswell,3737.1,664,4613.82
7,Maëlann,Winkle,282.52,537,9504.18
1,Uò,Crooke,617.81,903,2808.44
9,Östen,Coleyshaw,1651.95,160,488.46
2,Estève,Salters,1654.23,192,2572.16
1,Lài,Unwins,5967.83,163,3426.7
6,Zhì,Steutly,5957.32,60,6417.92
2,Angèle,Liebermann,1932.21,254,2565.16
7,Ráo,Chelsom,4395.5,82,3669.36
3,Zoé,Ford,3171.37,534,5912.99
9,Ruì,Dallimore,5115.82,635,9377.79
8,Bénédicte,Aisthorpe,5654.54,327,844.57
2,Lén,Frostdyke,8012.26,100,1322.2
1,Bénédicte,Bloss,6854.88,834,1414.92
3,Clémence,Fernant,1012.34,681,2545.36
5,Aí,Mc Carroll,4927.42,732,8983.36
4,Anaëlle,Edwicke,800.19,228,6987.94
10,Lyséa,Boor,1307.61,609,5911.15
9,Garçon,Wackett,2545.95,407,666.32
10,Laïla,Llorente,8919.31,953,4954.97
10,Esbjörn,Atto,2992.33,469,7552.58
6,Marie-noël,Labadini,3387.14,296,5698.01
8,Léandre,Mazzilli,2517.66,590,84.91
2,Maïly,Aspden,5444.35,509,3454.07
